Date,Count,Point
2012-08-23,33,Сыктывкар-2
2012-08-23,70,Ухта-1
2012-08-24,318,Сыктывкар-1
2012-08-24,26,Сыктывкар-2
2012-08-24,111,Ухта-1
2012-08-25,319,Сыктывкар-1
2012-08-25,38,Сыктывкар-2
2012-08-25,107,Ухта-1
2012-08-26,76,Ухта-1
2012-08-26,27,Сыктывкар-2
2012-08-26,274,Сыктывкар-1
2012-08-27,256,Сыктывкар-1
2012-08-27,28,Сыктывкар-2
2012-08-27,87,Ухта-1
2012-08-28,231,Сыктывкар-1
2012-08-28,24,Сыктывкар-2
2012-08-28,73,Ухта-1
2012-08-28,4,Смоленск-1
2012-08-29,21,Ухта-1
2012-08-29,267,Сыктывкар-1
2012-08-29,29,Сыктывкар-2
2012-08-29,8,Смоленск-1
2012-08-30,123,Ухта-1
2012-08-30,296,Сыктывкар-1
2012-08-30,30,Сыктывкар-2
2012-08-30,3,Смоленск-1
2012-08-31,401,Сыктывкар-1
2012-08-31,179,Ухта-1
2012-08-31,71,Смоленск-1
2012-08-31,43,Сыктывкар-2
2012-09-01,85,Смоленск-1
2012-09-01,68,Сыктывкар-2
2012-09-01,132,Ухта-1
2012-09-01,509,Сыктывкар-1
2012-09-02,62,Смоленск-1
2012-09-02,102,Ухта-1
2012-09-02,289,Сыктывкар-1
2012-09-02,15,Сыктывкар-2
2012-09-03,55,Ухта-1
2012-09-03,205,Сыктывкар-1
2012-09-03,53,Смоленск-1
2012-09-03,10,Сыктывкар-2
2012-09-04,18,Сыктывкар-2
2012-09-04,197,Сыктывкар-1
2012-09-04,68,Смоленск-1
2012-09-04,48,Ухта-1
2012-09-05,56,Смоленск-1
2012-09-05,237,Сыктывкар-1
2012-09-05,14,Сыктывкар-2
2012-09-05,85,Ухта-1
2012-09-06,55,Смоленск-1
2012-09-06,22,Сыктывкар-2
2012-09-06,198,Сыктывкар-1
2012-09-06,71,Ухта-1
2012-09-07,95,Смоленск-1
2012-09-07,26,Сыктывкар-2
2012-09-07,345,Сыктывкар-1
2012-09-07,123,Ухта-1
2012-09-08,36,Сыктывкар-2
2012-09-08,345,Сыктывкар-1
2012-09-08,109,Ухта-1
2012-09-08,75,Смоленск-1
2012-09-09,291,Сыктывкар-1
2012-09-09,68,Смоленск-1
2012-09-09,92,Ухта-1
2012-09-09,27,Сыктывкар-2
2012-09-10,72,Ухта-1
2012-09-10,205,Сыктывкар-1
2012-09-10,69,Смоленск-1
2012-09-10,25,Сыктывкар-2
2012-09-11,236,Сыктывкар-1
2012-09-11,77,Ухта-1
2012-09-11,57,Смоленск-1
2012-09-11,17,Сыктывкар-2
2012-09-12,15,Сыктывкар-2
2012-09-12,250,Сыктывкар-1
2012-09-12,72,Смоленск-1
2012-09-12,75,Ухта-1
2012-09-13,211,Сыктывкар-1
2012-09-13,14,Сыктывкар-2
2012-09-13,56,Смоленск-1
2012-09-13,73,Ухта-1
2012-09-14,72,Смоленск-1
2012-09-14,122,Ухта-1
2012-09-14,337,Сыктывкар-1
2012-09-14,28,Сыктывкар-2
2012-09-15,42,Сыктывкар-2
2012-09-15,98,Смоленск-1
2012-09-15,143,Ухта-1
2012-09-15,400,Сыктывкар-1
2012-09-16,313,Сыктывкар-1
2012-09-16,31,Сыктывкар-2
2012-09-16,103,Ухта-1
2012-09-16,70,Смоленск-1
2012-09-17,207,Сыктывкар-1
2012-09-17,26,Сыктывкар-2
2012-09-17,68,Ухта-1
2012-09-17,46,Смоленск-1
2012-09-18,55,Смоленск-1
2012-09-18,18,Сыктывкар-2
2012-09-18,202,Сыктывкар-1
2012-09-18,79,Ухта-1
2012-09-19,18,Сыктывкар-2
2012-09-19,56,Смоленск-1
2012-09-19,60,Ухта-1
2012-09-19,216,Сыктывкар-1
2012-09-20,56,Смоленск-1
2012-09-20,16,Сыктывкар-2
2012-09-20,66,Ухта-1
2012-09-20,241,Сыктывкар-1
2012-09-21,309,Сыктывкар-1
2012-09-21,32,Сыктывкар-2
2012-09-21,68,Смоленск-1
2012-09-21,111,Ухта-1
2012-09-22,98,Смоленск-1
2012-09-22,44,Сыктывкар-2
2012-09-22,101,Ухта-1
2012-09-22,372,Сыктывкар-1
2012-09-23,75,Ухта-1
2012-09-23,341,Сыктывкар-1
2012-09-23,29,Сыктывкар-2
2012-09-23,79,Смоленск-1
2012-09-24,14,Сыктывкар-2
2012-09-24,75,Смоленск-1
2012-09-24,75,Ухта-1
2012-09-24,194,Сыктывкар-1
2012-09-25,48,Ухта-1
2012-09-25,98,Смоленск-1
2012-09-25,23,Сыктывкар-2
2012-09-25,246,Сыктывкар-1
2012-09-26,68,Ухта-1
2012-09-26,271,Сыктывкар-1
2012-09-26,26,Сыктывкар-2
2012-09-26,67,Смоленск-1
2012-09-27,74,Смоленск-1
2012-09-27,23,Сыктывкар-2
2012-09-27,63,Ухта-1
2012-09-27,226,Сыктывкар-1
2012-09-28,131,Ухта-1
2012-09-28,336,Сыктывкар-1
2012-09-28,92,Смоленск-1
2012-09-28,33,Сыктывкар-2
2012-09-29,78,Смоленск-1
2012-09-29,367,Сыктывкар-1
2012-09-29,156,Ухта-1
2012-09-29,37,Сыктывкар-2
2012-09-30,105,Смоленск-1
2012-09-30,350,Сыктывкар-1
2012-09-30,32,Сыктывкар-2
2012-09-30,84,Ухта-1
2012-10-01,63,Ухта-1
2012-10-01,248,Сыктывкар-1
2012-10-01,20,Сыктывкар-2
2012-10-01,42,Смоленск-1
2012-10-02,64,Смоленск-1
2012-10-02,212,Сыктывкар-1
2012-10-02,73,Ухта-1
2012-10-02,14,Сыктывкар-2
2012-10-03,57,Смоленск-1
2012-10-03,14,Сыктывкар-2
2012-10-03,59,Ухта-1
2012-10-03,252,Сыктывкар-1
2012-10-04,58,Ухта-1
2012-10-04,261,Сыктывкар-1
2012-10-04,14,Сыктывкар-2
2012-10-04,53,Смоленск-1
2012-10-05,35,Сыктывкар-2
2012-10-05,77,Смоленск-1
2012-10-05,338,Сыктывкар-1
2012-10-05,120,Ухта-1
2012-10-06,84,Смоленск-1
2012-10-06,34,Сыктывкар-2
2012-10-06,411,Сыктывкар-1
2012-10-06,94,Ухта-1
2012-10-07,77,Ухта-1
2012-10-07,33,Сыктывкар-2
2012-10-07,316,Сыктывкар-1
2012-10-07,80,Смоленск-1
2012-10-08,52,Смоленск-1
2012-10-08,16,Сыктывкар-2
2012-10-08,57,Ухта-1
2012-10-08,204,Сыктывкар-1
2012-10-09,72,Смоленск-1
2012-10-09,106,Ухта-1
2012-10-09,29,Сыктывкар-2
2012-10-09,280,Сыктывкар-1
2012-10-10,90,Смоленск-1
2012-10-10,46,Ухта-1
2012-10-10,30,Сыктывкар-2
2012-10-10,244,Сыктывкар-1
2012-10-11,60,Ухта-1
2012-10-11,23,Сыктывкар-2
2012-10-11,240,Сыктывкар-1
2012-10-11,67,Смоленск-1
2012-10-12,118,Ухта-1
2012-10-12,126,Смоленск-1
2012-10-12,362,Сыктывкар-1
2012-10-12,37,Сыктывкар-2
2012-10-13,393,Сыктывкар-1
2012-10-13,89,Смоленск-1
2012-10-13,125,Ухта-1
2012-10-13,43,Сыктывкар-2
2012-10-14,80,Ухта-1
2012-10-14,367,Сыктывкар-1
2012-10-14,91,Смоленск-1
2012-10-14,26,Сыктывкар-2
2012-10-15,25,Сыктывкар-2
2012-10-15,65,Смоленск-1
2012-10-15,73,Ухта-1
2012-10-15,287,Сыктывкар-1
2012-10-16,230,Сыктывкар-1
2012-10-16,94,Ухта-1
2012-10-16,53,Смоленск-1
2012-10-16,31,Сыктывкар-2
2012-10-17,274,Сыктывкар-1
2012-10-17,73,Смоленск-1
2012-10-17,57,Ухта-1
2012-10-17,20,Сыктывкар-2
2012-10-18,18,Сыктывкар-2
2012-10-18,62,Ухта-1
2012-10-18,75,Смоленск-1
2012-10-18,262,Сыктывкар-1
2012-10-19,97,Ухта-1
2012-10-19,34,Сыктывкар-2
2012-10-19,96,Смоленск-1
2012-10-19,337,Сыктывкар-1
2012-10-20,86,Смоленск-1
2012-10-20,50,Сыктывкар-2
2012-10-20,115,Ухта-1
2012-10-20,445,Сыктывкар-1
2012-10-21,385,Сыктывкар-1
2012-10-21,66,Смоленск-1
2012-10-21,38,Сыктывкар-2
2012-10-21,79,Ухта-1
2012-10-22,63,Смоленск-1
2012-10-22,50,Ухта-1
2012-10-22,249,Сыктывкар-1
2012-10-22,20,Сыктывкар-2
2012-10-23,25,Сыктывкар-2
2012-10-23,54,Смоленск-1
2012-10-23,193,Сыктывкар-1
2012-10-23,115,Ухта-1
2012-10-24,57,Ухта-1
2012-10-24,56,Смоленск-1
2012-10-24,19,Сыктывкар-2
2012-10-24,231,Сыктывкар-1
2012-10-25,21,Сыктывкар-2
2012-10-25,70,Смоленск-1
2012-10-25,256,Сыктывкар-1
2012-10-25,74,Ухта-1
2012-10-26,20,Сыктывкар-2
2012-10-26,87,Смоленск-1
2012-10-26,325,Сыктывкар-1
2012-10-26,104,Ухта-1
2012-10-27,46,Сыктывкар-2
2012-10-27,403,Сыктывкар-1
2012-10-27,121,Ухта-1
2012-10-27,80,Смоленск-1
2012-10-28,47,Сыктывкар-2
2012-10-28,348,Сыктывкар-1
2012-10-28,87,Смоленск-1
2012-10-28,89,Ухта-1
2012-10-29,22,Сыктывкар-2
2012-10-29,59,Ухта-1
2012-10-29,49,Смоленск-1
2012-10-29,225,Сыктывкар-1
2012-10-30,220,Сыктывкар-1
2012-10-30,72,Смоленск-1
2012-10-30,19,Сыктывкар-2
2012-10-30,95,Ухта-1
2012-10-31,59,Смоленск-1
2012-10-31,21,Сыктывкар-2
2012-10-31,55,Ухта-1
2012-10-31,226,Сыктывкар-1
2012-11-01,17,Сыктывкар-2
2012-11-01,259,Сыктывкар-1
2012-11-01,65,Смоленск-1
2012-11-01,54,Ухта-1
2012-11-02,348,Сыктывкар-1
2012-11-02,35,Сыктывкар-2
2012-11-02,125,Ухта-1
2012-11-02,76,Смоленск-1
2012-11-03,499,Сыктывкар-1
2012-11-03,94,Смоленск-1
2012-11-03,36,Сыктывкар-2
2012-11-03,125,Ухта-1
2012-11-03,41,Сарапул-1
2012-11-04,102,Ухта-1
2012-11-04,88,Смоленск-1
2012-11-04,47,Сыктывкар-2
2012-11-04,405,Сыктывкар-1
2012-11-04,54,Сарапул-1
2012-11-05,71,Смоленск-1
2012-11-05,27,Сыктывкар-2
2012-11-05,350,Сыктывкар-1
2012-11-05,33,Сарапул-1
2012-11-05,109,Ухта-1
2012-11-06,1,Самара-1
2012-11-06,21,Сарапул-1
2012-11-06,49,Смоленск-1
2012-11-06,287,Сыктывкар-1
2012-11-06,95,Ухта-1
2012-11-06,19,Сыктывкар-2
2012-11-07,52,Ухта-1
2012-11-07,279,Сыктывкар-1
2012-11-07,60,Смоленск-1
2012-11-07,20,Сарапул-1
2012-11-07,1,Самара-1
2012-11-07,24,Сыктывкар-2
2012-11-08,33,Самара-1
2012-11-08,47,Ухта-1
2012-11-08,267,Сыктывкар-1
2012-11-08,17,Сарапул-1
2012-11-08,79,Смоленск-1
2012-11-08,22,Сыктывкар-2
2012-11-09,110,Ухта-1
2012-11-09,102,Смоленск-1
2012-11-09,30,Самара-1
2012-11-09,22,Сыктывкар-2
2012-11-09,339,Сыктывкар-1
2012-11-09,22,Сарапул-1
2012-11-10,89,Ухта-1
2012-11-10,36,Сыктывкар-2
2012-11-10,90,Смоленск-1
2012-11-10,45,Самара-1
2012-11-10,404,Сыктывкар-1
2012-11-10,43,Сарапул-1
2012-11-11,25,Самара-1
2012-11-11,27,Сыктывкар-2
2012-11-11,22,Сарапул-1
2012-11-11,68,Ухта-1
2012-11-11,70,Смоленск-1
2012-11-11,422,Сыктывкар-1
2012-11-12,19,Сарапул-1
2012-11-12,20,Самара-1
2012-11-12,17,Сыктывкар-2
2012-11-12,265,Сыктывкар-1
2012-11-12,50,Ухта-1
2012-11-12,69,Смоленск-1
2012-11-13,115,Ухта-1
2012-11-13,25,Самара-1
2012-11-13,9,Сыктывкар-2
2012-11-13,240,Сыктывкар-1
2012-11-13,59,Смоленск-1
2012-11-13,20,Сарапул-1
2012-11-14,185,Сыктывкар-1
2012-11-14,69,Смоленск-1
2012-11-14,24,Сарапул-1
2012-11-14,38,Самара-1
2012-11-14,60,Ухта-1
2012-11-14,2,Челябинск-1
2012-11-14,17,Сыктывкар-2
2012-11-15,59,Смоленск-1
