LFnext7,LFnext30,LFprev7,LFprev30
52.9940824097,56.0,102.8125,72.609375
79.0992271365,77.0,74.0390625,103.94140625
21.2981545784,20.0234375,1.0,26.421875
215.554350052,213.578125,145.166585781,237.40625
44.6257387932,68.9375,24.4834289744,61.75
63.761090043,66.0,1.0,82.1860351562
5.45534942129,16.51171875,25.8406953227,23.5102539062
111.126840478,71.884765625,1.0,49.0
189.581769427,206.359375,125.394214887,239.75
15.1277079367,55.546875,55.1511665975,83.53125
347.083773805,236.875,200.985605552,257.359375
17.5182022519,18.1640625,33.4579206317,22.9978027344
94.2396429058,66.625,54.6882522647,44.0
66.5953176214,58.1875,71.8899425756,90.78125
1.0,116.4375,87.8544104776,109.8125
35.6788776968,32.328125,31.2752259407,34.384765625
1.0,318.65625,489.35288528,343.09375
114.941365605,92.6875,95.5908872923,86.0
323.040387745,93.2890625,146.626573471,97.25
579.496064569,369.53125,446.36697416,379.71875
33.3880347571,34.490234375,26.4266550389,36.654296875
180.266342567,143.46875,163.283689723,152.15625
345.784585666,333.1875,316.059764238,316.875
193.040225243,90.875,75.1274359644,114.9375
93.7418351365,98.6171875,76.3036362374,73.53125
11.3755404012,27.369140625,36.323644456,27.4921875
142.670370334,87.9375,54.984563786,61.875
6.7192313505,18.640625,7.88454981963,25.935546875
251.81854669,235.2265625,250.581305558,253.671875
61.75,72.3125,55.5631235302,61.25
100.1875,91.4375,50.6749169845,52.25
75.6962890625,72.083984375,51.6812238628,61.203125
231.5,220.515625,238.13634447,243.171875
25.34375,22.740234375,16.9348742276,29.384765625
86.99008172,66.703125,100.424586262,61.75
17.6533883886,18.54296875,15.5969608374,22.8046875
184.415829359,216.34375,273.042992949,246.608886719
72.1186378781,70.46875,54.4954592255,49.43359375
31.2005757206,73.625,84.5531532764,74.265625
274.547286958,231.9375,273.802882703,265.703125
27.7300856908,16.85546875,33.9851165136,26.109375
92.5218888189,67.75,71.7217502954,59.578125
377.998919887,307.015625,437.461884907,340.5859375
1.0,131.75,63.0922603288,124.515625
17.6671280171,39.0625,30.775835255,36.3984375
78.9361418477,92.0,110.113330345,97.375
