Date,CourseUS
2013-02-23,30.3596
2013-02-26,30.3368
2013-02-27,30.5889
2013-02-28,30.6202
2013-03-01,30.5124
2013-03-02,30.6381
2013-03-05,30.787
2013-03-06,30.6963
2013-03-07,30.6214
2013-03-08,30.7628
2013-03-12,30.7576
2013-03-13,30.7499
2013-03-14,30.7209
2013-03-15,30.7769
2013-03-16,30.7196
2013-03-19,30.8908
2013-03-20,30.8285
2013-03-21,30.9446
2013-03-22,30.8923
2013-03-23,30.9325
2013-03-26,30.7585
2013-03-27,30.8734
2013-03-28,30.863
2013-03-29,30.9962
2013-03-30,31.0834
2013-04-02,31.1093
2013-04-03,31.1178
2013-04-04,31.3918
2013-04-05,31.7203
2013-04-06,31.6207
2013-04-09,31.6144
2013-04-10,31.2086
2013-04-11,31.0036
2013-04-12,30.8814
2013-04-13,30.9308
2013-04-16,31.3051
2013-04-17,31.4512
2013-04-18,31.232
2013-04-19,31.7151
2013-04-20,31.4605
2013-04-23,31.5664
2013-04-24,31.6414
2013-04-25,31.5917
2013-04-26,31.3169
2013-04-27,31.2196
2013-04-30,31.2559
2013-05-01,31.0433
2013-05-07,31.0839
2013-05-08,31.0789
2013-05-09,31.0829
2013-05-14,31.3777
2013-05-15,31.2778
2013-05-16,31.4281
2013-05-17,31.4166
2013-05-18,31.3931
2013-05-21,31.3406
2013-05-22,31.177
2013-05-23,31.228
2013-05-24,31.4711
2013-05-25,31.3164
2013-05-28,31.3025
2013-05-29,31.3784
2013-05-30,31.5203
2013-05-31,31.5893
2013-06-01,31.7979
2013-06-04,32.0487
2013-06-05,31.8344
2013-06-06,31.9816
2013-06-07,32.1385
2013-06-08,32.2397
2013-06-11,32.3246
2013-06-12,32.3951
2013-06-14,32.3467
2013-06-15,31.8029
2013-06-18,31.679
2013-06-19,31.8824
2013-06-20,32.1201
2013-06-21,32.7041
2013-06-22,32.7433
2013-06-25,32.9097
2013-06-26,32.714
2013-06-27,32.8876
2013-06-28,32.8766
2013-06-29,32.709
2013-07-02,32.8517
2013-07-03,32.9475
2013-07-04,33.2204
2013-07-05,33.1605
2013-07-06,33.2247
2013-07-09,33.321
2013-07-10,33.0842
2013-07-11,32.9112
2013-07-12,32.5867
2013-07-13,32.6429
2013-07-16,32.622
2013-07-17,32.5417
2013-07-18,32.4526
2013-07-19,32.3998
2013-07-20,32.4288
2013-07-23,32.3236
2013-07-24,32.3106
2013-07-25,32.3462
2013-07-26,32.5376
2013-07-27,32.6371
2013-07-30,32.8556
2013-07-31,32.8901
2013-08-01,33.033
2013-08-02,32.9741
2013-08-03,33.0978
2013-08-06,32.8811
2013-08-07,32.939
2013-08-08,32.9848
