NextExisting1Value,NextExisting2Value,NextExisting3Value,NextExisting7Value,NextExisting14Value,NextExisting21Value,NextExisting30Value
,42.0,37.5,26.0,24.4615384615,23.2631578947,23.3076923077
,294.0,275.5,260.666666667,261.153846154,261.578947368,263.038461538
294.0,275.5,264.333333333,269.428571429,262.0,261.3,262.925925926
42.0,37.5,31.3333333333,26.2857142857,24.5,23.5,23.4814814815
33.0,26.0,25.6666666667,23.2857142857,23.1538461538,22.25,22.7692307692
257.0,249.5,245.0,261.571428571,259.538461538,259.7,261.730769231
242.0,239.0,236.0,259.142857143,259.384615385,260.85,262.153846154
19.0,22.0,19.0,21.4285714286,21.7692307692,21.9,22.4230769231
25.0,19.0,20.6666666667,21.5714285714,22.6153846154,22.0,22.6923076923
236.0,233.0,257.0,258.571428571,260.0,259.7,263.346153846
9.0,8.5,8.66666666667,16.1428571429,20.7692307692,28.55,38.1538461538
13.0,18.5,21.6666666667,20.7142857143,21.8461538462,21.65,23.2307692308
8.0,8.5,10.0,17.7142857143,21.8461538462,30.15,42.7307692308
230.0,267.5,285.666666667,258.571428571,261.153846154,261.65,266.653846154
9.0,11.0,13.3333333333,19.7142857143,24.5384615385,32.85,44.12
305.0,313.5,288.666666667,261.857142857,262.384615385,263.95,268.12
24.0,26.0,24.3333333333,21.1428571429,22.0769230769,21.6,23.64
13.0,15.5,20.0,22.4285714286,27.6923076923,34.1052631579,46.52
322.0,280.5,267.0,261.571428571,262.0,261.789473684,267.64
28.0,24.5,23.0,23.1428571429,22.0,21.4736842105,23.56
239.0,239.5,239.0,254.571428571,256.923076923,260.684210526,265.52
18.0,23.5,24.6666666667,23.5714285714,30.8461538462,38.0,48.88
21.0,20.5,20.3333333333,22.7142857143,22.0,22.2105263158,23.36
240.0,239.0,238.0,257.166666667,258.692307692,261.888888889,266.56
20.0,20.0,19.6666666667,23.0,21.6923076923,22.2777777778,23.6
29.0,28.0,25.3333333333,24.5,32.8461538462,39.1111111111,50.76
27.0,23.5,23.0,24.3333333333,33.5384615385,41.5,51.6666666667
20.0,19.5,18.3333333333,22.1666666667,22.1538461538,22.7222222222,23.75
238.0,237.0,242.333333333,259.666666667,261.769230769,263.0,267.666666667
20.0,21.0,23.3333333333,26.1666666667,35.2307692308,42.3529411765,53.4583333333
19.0,17.5,24.3333333333,23.8333333333,22.2307692308,22.8823529412,24.2916666667
236.0,244.5,264.0,261.666666667,260.307692308,264.470588235,270.0
22.0,25.0,23.6666666667,26.6666666667,36.8461538462,46.1764705882,57.25
253.0,278.0,276.333333333,264.166666667,263.307692308,266.352941176,273.416666667
16.0,27.0,26.3333333333,23.1666666667,22.1538461538,23.1764705882,24.5833333333
38.0,31.5,31.5,23.1666666667,21.8461538462,23.7647058824,24.9565217391
303.0,288.0,288.0,263.0,265.076923077,267.529411765,274.304347826
28.0,24.5,24.5,30.1666666667,39.9230769231,49.2352941176,58.7826086957
21.0,21.0,24.5,33.8333333333,40.9166666667,55.1176470588,60.8695652174
25.0,25.0,20.0,20.6666666667,20.5,23.8235294118,24.4782608696
273.0,273.0,264.0,262.5,261.916666667,268.647058824,273.043478261
,15.0,22.5,21.1666666667,21.9166666667,23.75,24.6086956522
,255.0,252.5,259.666666667,264.25,268.375,272.304347826
,28.0,33.0,39.3333333333,46.4166666667,57.25,63.7391304348
28.0,33.0,29.6666666667,40.0,46.4166666667,57.9411764706,64.125
15.0,22.5,20.0,20.5714285714,21.9166666667,23.6470588235,24.5833333333
255.0,252.5,252.0,260.0,264.25,269.823529412,270.583333333
250.0,250.5,249.0,263.571428571,264.666666667,270.647058824,271.260869565
30.0,22.5,20.3333333333,22.1428571429,23.0,24.1176470588,25.0
38.0,30.5,34.6666666667,41.4285714286,50.0833333333,60.5294117647,65.6956521739
251.0,248.5,265.666666667,259.142857143,266.0,271.529411765,273.260869565
23.0,33.0,38.6666666667,43.0,51.1818181818,62.1176470588,69.3913043478
15.0,15.5,18.0,20.8571428571,22.3636363636,23.9411764706,25.0
43.0,46.5,49.0,45.5714285714,56.8181818182,64.5625,76.1739130435
16.0,19.5,22.3333333333,21.2857142857,23.1818181818,24.5,26.2173913043
246.0,273.0,267.333333333,262.571428571,267.545454545,272.8125,279.782608696
50.0,52.0,49.3333333333,48.2857142857,59.6363636364,66.25,80.0434782609
300.0,278.0,272.666666667,266.857142857,270.0,275.8125,291.217391304
23.0,25.5,22.6666666667,20.7142857143,24.0909090909,25.5625,28.4782608696
256.0,259.0,266.0,261.333333333,272.0,276.9375,290.739130435
28.0,22.5,23.6666666667,20.3333333333,25.5454545455,25.75,28.1304347826
54.0,49.0,45.3333333333,48.0,66.7272727273,70.0625,82.3043478261
262.0,271.0,253.666666667,268.833333333,273.6,278.333333333,288.52173913
44.0,41.0,43.6666666667,53.5,68.0,71.1333333333,82.347826087
17.0,21.5,21.3333333333,22.6666666667,25.3,25.6,27.347826087
26.0,23.5,21.6666666667,23.8,25.8,26.2666666667,27.3913043478
280.0,249.5,258.0,270.2,276.7,279.133333333,285.695652174
38.0,43.5,42.6666666667,55.4,70.5,73.2666666667,82.5217391304
219.0,247.0,256.666666667,266.2,275.6,277.533333333,283.826086957
49.0,45.0,50.6666666667,62.2,73.9,76.5333333333,84.5652173913
21.0,19.5,17.0,24.2,25.5,26.4,26.8695652174
41.0,51.5,51.5,65.5,75.5,78.1333333333,85.5217391304
275.0,275.5,275.5,278.0,280.2,278.333333333,282.913043478
18.0,15.0,15.0,25.0,26.1,26.6,26.9130434783
276.0,276.0,288.5,276.25,280.777777778,278.571428571,285.956521739
12.0,12.0,27.0,26.5,27.0,27.2142857143,27.2608695652
62.0,62.0,74.5,76.5,79.3333333333,80.7857142857,89.0869565217
,87.0,87.0,79.5,80.2222222222,85.1428571429,91.1304347826
,301.0,301.0,275.5,282.777777778,280.0,288.956521739
,42.0,42.0,30.0,29.3333333333,28.5,28.3043478261
87.0,87.0,79.5,89.2,83.3,91.4,91.1304347826
42.0,42.0,35.0,31.8,29.0,29.4666666667,28.3043478261
301.0,301.0,280.5,284.8,286.3,288.066666667,288.956521739
,72.0,72.0,89.75,82.8888888889,94.4,90.4782608696
,28.0,28.0,29.25,27.5555555556,31.2,27.5652173913
,260.0,260.0,280.75,284.666666667,301.933333333,284.782608696
72.0,72.0,78.5,85.6,82.2,94.875,89.9166666667
28.0,28.0,26.0,27.8,27.5,30.1875,27.125
260.0,260.0,264.0,283.2,283.6,301.125,282.75
,85.0,79.5,85.6,83.7,93.8125,90.6956521739
,24.0,25.0,26.8,27.5,29.0625,27.0869565217
,268.0,270.5,285.0,283.2,297.6875,283.739130435
24.0,25.0,29.6666666667,26.8333333333,27.1818181818,28.4117647059,27.0869565217
85.0,79.5,95.6666666667,82.1666666667,82.7272727273,91.1176470588,90.6956521739
268.0,270.5,287.666666667,281.666666667,278.454545455,291.764705882,283.739130435
74.0,101.0,101.0,81.6,82.5,91.1176470588,92.3043478261
26.0,32.5,32.5,27.4,27.5,27.8235294118,27.2608695652
273.0,297.5,297.5,284.4,279.5,289.941176471,286.739130435
128.0,128.0,98.5,80.8,87.4,90.9411764706,95.3043478261
322.0,322.0,307.5,288.6,281.8,285.529411765,292.260869565
39.0,39.0,30.5,28.8,27.9,27.5882352941,27.9565217391
,69.0,70.5,77.4,92.5,90.6470588235,93.8181818182
,22.0,22.5,26.2,28.3,26.8235294118,27.4545454545
,293.0,281.0,287.8,289.7,286.882352941,290.909090909
69.0,70.5,68.6666666667,77.4,96.0909090909,91.6666666667,92.6956521739
22.0,22.5,24.0,26.2,31.9090909091,27.3333333333,27.3913043478
293.0,281.0,275.666666667,287.8,309.636363636,290.111111111,287.260869565
72.0,68.5,68.5,78.8,99.0909090909,93.0,93.7727272727
269.0,267.0,267.0,284.0,309.272727273,289.941176471,287.0
23.0,25.0,25.0,27.2,31.2727272727,27.6470588235,27.6363636364
265.0,265.0,279.5,281.4,303.454545455,286.176470588,284.590909091
65.0,65.0,67.5,81.8,97.5454545455,93.0,93.2272727273
27.0,27.0,30.0,28.2,30.0909090909,27.7647058824,27.4090909091
,33.0,29.5,27.6,29.2727272727,27.1764705882,27.4285714286
,70.0,90.5,83.4,96.0,93.7058823529,94.5714285714
,294.0,306.0,274.6,297.272727273,284.470588235,285.523809524
33.0,29.5,29.5,27.6,28.0,27.1764705882,27.6363636364
70.0,90.5,90.5,83.4,95.0833333333,93.7058823529,95.3181818182
294.0,306.0,306.0,274.6,292.25,284.470588235,286.590909091
26.0,26.0,26.5,27.0,27.0833333333,26.8125,28.1363636364
111.0,111.0,93.5,94.0,95.1666666667,95.1875,96.7272727273
318.0,318.0,296.0,275.0,284.25,283.875,290.136363636
,76.0,81.5,107.6,96.1666666667,95.875,95.0909090909
