YearDayRange,MonthDayRange,WeekDayRange,MonthRange,YearRange
107,8,4,0,4
107,8,4,0,4
107,8,4,0,4
107,8,4,0,4
31,20,1,0,4
31,20,1,0,4
31,20,1,0,4
31,20,1,0,4
31,20,1,0,4
31,20,1,0,4
299,3,2,0,4
299,3,2,0,4
299,3,2,0,4
299,3,2,0,4
299,3,2,0,4
299,3,2,0,4
301,15,0,0,4
301,15,0,0,4
301,15,0,0,4
301,15,0,0,4
301,15,0,0,4
301,15,0,0,4
301,15,0,0,4
85,26,3,0,4
85,26,3,0,4
85,26,3,0,4
85,26,3,0,4
85,26,3,0,4
85,26,3,0,4
85,26,3,0,4
52,13,5,0,4
52,13,5,0,4
52,13,5,0,4
52,13,5,0,4
52,13,5,0,4
52,13,5,0,4
52,13,5,0,4
53,19,6,0,4
53,19,6,0,4
53,19,6,0,4
53,19,6,0,4
53,19,6,0,4
53,19,6,0,4
53,19,6,0,4
68,1,4,0,4
68,1,4,0,4
68,1,4,0,4
68,1,4,0,4
68,1,4,0,4
68,1,4,0,4
68,1,4,0,4
217,0,1,0,4
217,0,1,0,4
217,0,1,0,4
217,0,1,0,4
217,0,1,0,4
217,0,1,0,4
217,0,1,0,4
344,23,2,0,4
344,23,2,0,4
344,23,2,0,4
344,23,2,0,4
344,23,2,0,4
344,23,2,0,4
344,23,2,0,4
316,5,0,0,4
316,5,0,0,4
316,5,0,0,4
316,5,0,0,4
316,5,0,0,4
316,5,0,0,4
69,9,3,0,4
69,9,3,0,4
69,9,3,0,4
69,9,3,0,4
69,9,3,0,4
69,9,3,0,4
69,9,3,0,4
4,16,5,0,4
4,16,5,0,4
4,16,5,0,4
4,16,5,0,4
4,16,5,0,4
4,16,5,0,4
4,16,5,0,4
58,25,6,0,4
58,25,6,0,4
58,25,6,0,4
58,25,6,0,4
58,25,6,0,4
58,25,6,0,4
58,25,6,0,4
79,11,4,0,4
79,11,4,0,4
79,11,4,0,4
79,11,4,0,4
79,11,4,0,4
79,11,4,0,4
79,11,4,0,4
204,29,1,0,4
204,29,1,0,4
204,29,1,0,4
204,29,1,0,4
204,29,1,0,4
204,29,1,0,4
204,29,1,0,4
231,27,2,0,4
231,27,2,0,4
231,27,2,0,4
231,27,2,0,4
231,27,2,0,4
231,27,2,0,4
231,27,2,0,4
287,2,0,0,4
287,2,0,0,4
287,2,0,0,4
287,2,0,0,4
287,2,0,0,4
287,2,0,0,4
287,2,0,0,4
252,14,3,0,4
252,14,3,0,4
252,14,3,0,4
252,14,3,0,4
252,14,3,0,4
252,14,3,0,4
252,14,3,0,4
10,28,5,0,4
10,28,5,0,4
10,28,5,0,4
10,28,5,0,4
10,28,5,0,4
10,28,5,0,4
10,28,5,0,4
22,30,6,8,4
22,30,6,8,4
22,30,6,8,4
22,30,6,8,4
22,30,6,8,4
22,30,6,8,4
22,30,6,8,4
38,6,4,8,4
38,6,4,8,4
38,6,4,8,4
38,6,4,8,4
38,6,4,8,4
38,6,4,8,4
38,6,4,8,4
3,10,1,8,4
3,10,1,8,4
3,10,1,8,4
3,10,1,8,4
3,10,1,8,4
3,10,1,8,4
3,10,1,8,4
311,22,2,8,4
311,22,2,8,4
311,22,2,8,4
311,22,2,8,4
311,22,2,8,4
311,22,2,8,4
311,22,2,8,4
261,7,0,8,4
261,7,0,8,4
261,7,0,8,4
261,7,0,8,4
261,7,0,8,4
261,7,0,8,4
261,7,0,8,4
118,17,3,8,4
118,17,3,8,4
118,17,3,8,4
118,17,3,8,4
118,17,3,8,4
118,17,3,8,4
118,17,3,8,4
5,21,5,8,4
5,21,5,8,4
5,21,5,8,4
5,21,5,8,4
5,21,5,8,4
5,21,5,8,4
5,21,5,8,4
24,18,6,8,4
24,18,6,8,4
24,18,6,8,4
24,18,6,8,4
24,18,6,8,4
24,18,6,8,4
24,18,6,8,4
84,24,4,8,4
84,24,4,8,4
84,24,4,8,4
84,24,4,8,4
84,24,4,8,4
84,24,4,8,4
84,24,4,8,4
7,4,1,8,4
7,4,1,8,4
7,4,1,8,4
7,4,1,8,4
7,4,1,8,4
7,4,1,8,4
7,4,1,8,4
318,8,2,8,4
318,8,2,8,4
318,8,2,8,4
318,8,2,8,4
318,8,2,8,4
318,8,2,8,4
318,8,2,8,4
270,20,0,8,4
270,20,0,8,4
270,20,0,8,4
270,20,0,8,4
270,20,0,8,4
270,20,0,8,4
270,20,0,8,4
270,20,0,8,4
274,3,3,8,4
274,3,3,8,4
274,3,3,8,4
274,3,3,8,4
274,3,3,8,4
274,3,3,8,4
274,3,3,8,4
274,3,3,8,4
48,15,5,8,4
48,15,5,8,4
48,15,5,8,4
48,15,5,8,4
48,15,5,8,4
48,15,5,8,4
48,15,5,8,4
48,15,5,8,4
27,26,6,8,4
27,26,6,8,4
27,26,6,8,4
27,26,6,8,4
27,26,6,8,4
27,26,6,8,4
27,26,6,8,4
27,26,6,8,4
90,13,4,8,4
90,13,4,8,4
90,13,4,8,4
90,13,4,8,4
90,13,4,8,4
90,13,4,8,4
90,13,4,8,4
90,13,4,8,4
181,19,1,8,4
181,19,1,8,4
181,19,1,8,4
181,19,1,8,4
181,19,1,8,4
181,19,1,8,4
181,19,1,8,4
181,19,1,8,4
347,1,2,8,4
347,1,2,8,4
347,1,2,8,4
347,1,2,8,4
347,1,2,8,4
347,1,2,8,4
347,1,2,8,4
347,1,2,8,4
298,0,0,8,4
298,0,0,8,4
298,0,0,8,4
298,0,0,8,4
298,0,0,8,4
298,0,0,8,4
298,0,0,8,4
298,0,0,8,4
138,23,3,8,4
138,23,3,8,4
138,23,3,8,4
138,23,3,8,4
138,23,3,8,4
138,23,3,8,4
138,23,3,8,4
138,23,3,8,4
115,5,5,8,4
115,5,5,8,4
115,5,5,8,4
115,5,5,8,4
115,5,5,8,4
115,5,5,8,4
115,5,5,8,4
115,5,5,8,4
120,9,6,8,4
120,9,6,8,4
120,9,6,8,4
120,9,6,8,4
120,9,6,8,4
120,9,6,8,4
120,9,6,8,4
120,9,6,8,4
142,16,4,8,4
142,16,4,8,4
142,16,4,8,4
142,16,4,8,4
142,16,4,8,4
142,16,4,8,4
142,16,4,8,4
142,16,4,8,4
312,25,1,8,4
312,25,1,8,4
312,25,1,8,4
312,25,1,8,4
312,25,1,8,4
312,25,1,8,4
312,25,1,8,4
312,25,1,8,4
360,11,2,8,4
360,11,2,8,4
360,11,2,8,4
360,11,2,8,4
360,11,2,8,4
360,11,2,8,4
360,11,2,8,4
360,11,2,8,4
348,29,0,8,4
348,29,0,8,4
348,29,0,8,4
348,29,0,8,4
348,29,0,8,4
348,29,0,8,4
348,29,0,8,4
348,29,0,8,4
235,27,3,8,4
235,27,3,8,4
235,27,3,8,4
235,27,3,8,4
235,27,3,8,4
235,27,3,8,4
235,27,3,8,4
235,27,3,8,4
321,2,5,8,4
321,2,5,8,4
321,2,5,8,4
321,2,5,8,4
321,2,5,8,4
321,2,5,8,4
321,2,5,8,4
321,2,5,8,4
354,14,6,8,4
354,14,6,8,4
354,14,6,8,4
354,14,6,8,4
354,14,6,8,4
354,14,6,8,4
354,14,6,8,4
354,14,6,8,4
119,28,4,8,4
119,28,4,8,4
119,28,4,8,4
119,28,4,8,4
119,28,4,8,4
119,28,4,8,4
119,28,4,8,4
119,28,4,8,4
100000,12,1,8,4
100000,12,1,8,4
100000,12,1,8,4
100000,12,1,8,4
100000,12,1,8,4
100000,12,1,8,4
100000,12,1,8,4
100000,12,1,8,4
191,30,2,6,2
191,30,2,6,2
191,30,2,6,2
191,30,2,6,2
191,30,2,6,2
191,30,2,6,2
191,30,2,6,2
191,30,2,6,2
341,6,0,6,2
341,6,0,6,2
341,6,0,6,2
341,6,0,6,2
341,6,0,6,2
341,6,0,6,2
341,6,0,6,2
341,6,0,6,2
340,10,3,6,2
340,10,3,6,2
340,10,3,6,2
340,10,3,6,2
340,10,3,6,2
340,10,3,6,2
340,10,3,6,2
340,10,3,6,2
333,22,5,6,2
333,22,5,6,2
333,22,5,6,2
333,22,5,6,2
333,22,5,6,2
333,22,5,6,2
333,22,5,6,2
333,22,5,6,2
325,7,6,6,2
325,7,6,6,2
325,7,6,6,2
325,7,6,6,2
325,7,6,6,2
325,7,6,6,2
325,7,6,6,2
325,7,6,6,2
258,17,4,6,2
258,17,4,6,2
258,17,4,6,2
258,17,4,6,2
258,17,4,6,2
258,17,4,6,2
258,17,4,6,2
258,17,4,6,2
260,21,1,6,2
260,21,1,6,2
260,21,1,6,2
260,21,1,6,2
260,21,1,6,2
260,21,1,6,2
260,21,1,6,2
260,21,1,6,2
208,18,2,6,2
208,18,2,6,2
208,18,2,6,2
208,18,2,6,2
208,18,2,6,2
208,18,2,6,2
208,18,2,6,2
208,18,2,6,2
283,24,0,6,2
283,24,0,6,2
283,24,0,6,2
283,24,0,6,2
283,24,0,6,2
283,24,0,6,2
283,24,0,6,2
283,24,0,6,2
224,4,3,6,2
224,4,3,6,2
224,4,3,6,2
224,4,3,6,2
224,4,3,6,2
224,4,3,6,2
224,4,3,6,2
224,4,3,6,2
147,8,5,6,2
147,8,5,6,2
147,8,5,6,2
147,8,5,6,2
147,8,5,6,2
147,8,5,6,2
147,8,5,6,2
147,8,5,6,2
37,20,6,6,2
37,20,6,6,2
37,20,6,6,2
37,20,6,6,2
37,20,6,6,2
37,20,6,6,2
37,20,6,6,2
37,20,6,6,2
131,3,4,6,2
131,3,4,6,2
131,3,4,6,2
131,3,4,6,2
131,3,4,6,2
131,3,4,6,2
131,3,4,6,2
131,3,4,6,2
26,15,1,6,2
26,15,1,6,2
26,15,1,6,2
26,15,1,6,2
26,15,1,6,2
26,15,1,6,2
26,15,1,6,2
26,15,1,6,2
220,26,2,6,2
220,26,2,6,2
220,26,2,6,2
220,26,2,6,2
220,26,2,6,2
220,26,2,6,2
220,26,2,6,2
220,26,2,6,2
306,13,0,6,2
306,13,0,6,2
306,13,0,6,2
306,13,0,6,2
306,13,0,6,2
306,13,0,6,2
306,13,0,6,2
306,13,0,6,2
308,19,3,6,2
308,19,3,6,2
308,19,3,6,2
308,19,3,6,2
308,19,3,6,2
308,19,3,6,2
308,19,3,6,2
308,19,3,6,2
315,1,5,6,2
315,1,5,6,2
315,1,5,6,2
315,1,5,6,2
315,1,5,6,2
315,1,5,6,2
315,1,5,6,2
315,1,5,6,2
18,0,6,6,2
18,0,6,6,2
18,0,6,6,2
18,0,6,6,2
18,0,6,6,2
18,0,6,6,2
18,0,6,6,2
18,0,6,6,2
11,23,4,6,2
11,23,4,6,2
11,23,4,6,2
11,23,4,6,2
11,23,4,6,2
11,23,4,6,2
11,23,4,6,2
11,23,4,6,2
36,5,1,6,2
36,5,1,6,2
36,5,1,6,2
36,5,1,6,2
36,5,1,6,2
36,5,1,6,2
36,5,1,6,2
36,5,1,6,2
66,9,2,6,2
66,9,2,6,2
66,9,2,6,2
66,9,2,6,2
66,9,2,6,2
66,9,2,6,2
66,9,2,6,2
66,9,2,6,2
327,16,0,6,2
327,16,0,6,2
327,16,0,6,2
327,16,0,6,2
327,16,0,6,2
327,16,0,6,2
327,16,0,6,2
327,16,0,6,2
296,25,3,6,2
296,25,3,6,2
296,25,3,6,2
296,25,3,6,2
296,25,3,6,2
296,25,3,6,2
296,25,3,6,2
296,25,3,6,2
194,11,5,6,2
194,11,5,6,2
194,11,5,6,2
194,11,5,6,2
194,11,5,6,2
194,11,5,6,2
194,11,5,6,2
194,11,5,6,2
291,29,6,6,2
291,29,6,6,2
291,29,6,6,2
291,29,6,6,2
291,29,6,6,2
291,29,6,6,2
291,29,6,6,2
291,29,6,6,2
74,27,4,6,2
74,27,4,6,2
74,27,4,6,2
74,27,4,6,2
74,27,4,6,2
74,27,4,6,2
74,27,4,6,2
74,27,4,6,2
43,2,1,6,2
43,2,1,6,2
43,2,1,6,2
43,2,1,6,2
43,2,1,6,2
43,2,1,6,2
43,2,1,6,2
43,2,1,6,2
42,14,2,6,2
42,14,2,6,2
42,14,2,6,2
42,14,2,6,2
42,14,2,6,2
42,14,2,6,2
42,14,2,6,2
42,14,2,6,2
202,28,0,6,2
202,28,0,6,2
202,28,0,6,2
202,28,0,6,2
202,28,0,6,2
202,28,0,6,2
202,28,0,6,2
202,28,0,6,2
238,12,3,6,2
238,12,3,6,2
238,12,3,6,2
238,12,3,6,2
238,12,3,6,2
238,12,3,6,2
238,12,3,6,2
238,12,3,6,2
157,30,5,10,2
157,30,5,10,2
157,30,5,10,2
157,30,5,10,2
157,30,5,10,2
157,30,5,10,2
157,30,5,10,2
157,30,5,10,2
102,6,6,10,2
102,6,6,10,2
102,6,6,10,2
102,6,6,10,2
102,6,6,10,2
102,6,6,10,2
102,6,6,10,2
102,6,6,10,2
93,10,4,10,2
93,10,4,10,2
93,10,4,10,2
93,10,4,10,2
93,10,4,10,2
93,10,4,10,2
93,10,4,10,2
93,10,4,10,2
106,22,1,10,2
